,序号,月份,样品号,经度,纬度,ph,全氮g/kg,水解性氮mg/kg,有机物%,有效磷（mg/kg),有效钾(mg/kg),全钾（g/kg）,全磷(g/kg)
55,56,6,664,103.9648959,30.45030596,5.35,1.179049029,139.1460699,1.284907542,1.939430737,66.96,13.525,0.40535
56,57,6,665,103.9655979,30.45030596,4.965,1.448776797,138.2337339,1.712593255,3.701539832,68.32,nan,nan
57,58,6,666,103.9662999,30.45030596,5.74,1.83817898,155.0931387,1.951902509,4.337002761,68.68,nan,nan
58,59,6,667,103.9670019,30.45030596,5.555,1.383098132,99.16167796,1.919048488,1.196783349,80.6,11.86,0.374325
59,60,6,668,103.9677039,30.45030596,4.96,1.168582753,120.6079115,3.278303603,1.467228674,71.68,12.435,0.441325
60,61,6,669,103.9684058,30.45030596,nan,nan,nan,nan,nan,nan,nan,nan
61,62,6,670,103.9690922,30.45030596,nan,nan,nan,nan,nan,nan,nan,nan
62,63,6,671,103.9697942,30.45030596,6.1,1.632779847,156.7574853,1.702833297,1.550980451,69.82,13.5475,0.3943
63,64,6,672,103.9704962,30.45030596,5.185,1.446652434,125.8440313,1.882201223,1.660832934,35.4,nan,nan
64,65,6,673,103.9684058,30.44960397,4.735,1.33653312,170.3588265,1.335194545,9.678402989,70.06,17.375,0.531
65,66,6,674,103.9690922,30.44960397,5.505,1.650766891,172.9334507,2.819389448,1.432199594,67.82,14.0975,0.37575
66,67,6,675,103.9697942,30.44960397,6.26,1.46543915,132.9490201,2.523957156,0.383416312,111.82,13.985,0.4319
67,68,6,676,103.9704962,30.44960397,5.12,1.578421623,141.3048665,3.127859331,2.055932216,61.58,13.595,0.318225
68,69,6,677,103.9711982,30.44960397,nan,nan,nan,nan,nan,nan,nan,nan
69,70,6,678,103.9719002,30.45030596,5.61,1.636702442,146.016705,2.179000353,0.848435782,69.58,nan,nan
70,71,6,679,103.9719002,30.45099235,4.76,1.682930638,190.0382483,2.443214447,3.209114284,50.3,11.515,0.5585
71,72,6,680,103.9726022,30.45099235,5.015,1.566230028,196.2919767,2.976315156,5.696264755,63.9,10.0625,0.425225
72,73,6,681,103.9726022,30.45030596,4.92,1.608649074,200.0089212,1.345973519,6.555654817,50.24,12.8,0.697
73,74,6,682,103.9733041,30.45030596,5.895,1.561974776,153.6878404,3.284355026,10.68818341,67.22,13.245,0.64425
74,75,6,683,103.9740061,30.45030596,6.04,1.173580163,145.9616351,2.667298203,5.297156841,65,13.6375,0.663
75,76,6,684,103.9746925,30.45030596,4.39,1.596988256,134.116168,2.536157372,7.134879874,45.72,13.12,0.819
76,77,6,685,103.9753945,30.44960397,4.805,1.698678008,177.4466072,2.397304392,21.64915505,96.02,nan,nan
77,78,6,686,103.9746925,30.44960397,5.525,1.661020699,146.3252223,2.676653716,1.466017283,113.38,12.6275,0.459975
78,79,6,687,103.9740061,30.44960397,4.785,1.532271456,141.5612426,1.901090699,1.333441549,218.4,10.625,0.58075
79,80,6,688,103.9733041,30.44960397,5.425,1.393581568,175.4315932,2.696847007,20.69843653,66.96,13.41,0.975
80,81,6,689,103.9726022,30.44960397,5.025,1.620514649,145.6082621,3.992612598,9.470440571,83.4,11.6425,0.6615
81,82,6,690,103.9719002,30.44960397,5.19,1.436562838,181.6862644,1.524339657,6.633141885,149.46,13.31,0.509675
82,83,6,691,103.9711982,30.44890199,nan,nan,nan,nan,nan,nan,nan,nan
83,84,6,692,103.9704962,30.44890199,nan,nan,nan,nan,nan,nan,nan,nan
84,85,6,693,103.9746925,30.44890199,5.11,1.436848,196.2356523,1.235644,5.23555487,51.98,nan,nan
85,86,6,694,nan,nan,5.025,1.789943176,216.1805174,3.250685612,3.893794706,69.1,13.095,0.951
86,87,6,695,nan,nan,6.355,2.105867395,184.2698779,3.067598669,7.791831418,106.38,12.1825,0.372925
87,88,6,696,nan,nan,5.865,1.145802685,107.1999098,0.450934843,1.012894741,65.8,12.1825,0.683
88,89,6,697,nan,nan,6.65,1.595658677,137.8004375,2.144377374,2.468268373,59.6,11.69,1.027
89,90,6,698,nan,nan,4.595,2.178726363,208.1437762,2.311669275,55.08921983,68.22,11.23,0.33995
90,91,6,699,nan,nan,6.44,1.216685319,115.251593,1.07838696,5.646590527,227,11.365,0.5515
91,92,6,700,nan,nan,6.145,1.559673039,124.0500471,2.773598214,3.446096445,130.02,12.84,0.5325
92,93,6,701,nan,nan,4.805,1.329525776,113.9013862,1.998715758,4.465239294,70.04,13.4475,0.51825
93,94,6,702,nan,nan,6.11,1.573351168,143.8936428,2.39649453,1.664437922,58.14,11.465,0.382625
94,95,6,703,nan,nan,4.78,1.607826828,168.6411209,2.317348085,6.37015457,136.1,13.8775,0.95275
95,96,6,704,nan,nan,4.875,1.563388049,163.8867525,3.426722357,16.18320628,147.04,13.27,0.56075
96,1,8,598,103.9607032,30.45450451,4.412,1.615108209,267.1445349,3.251011491,20.71665452,145.64,9.43,0.6245
97,2,8,599,103.9614016,30.45450228,6.205,1.407006881,90.98421373,1.673135871,3.696472137,39.72,9.23,nan
98,3,8,600,103.9614016,30.45380029,5.613,1.483162874,86.03871968,4.537298513,5.174514296,95.92,14.24,0.31257
99,4,8,nan,103.9606996,30.45380029,nan,nan,nan,nan,nan,nan,nan,nan
100,5,8,602,103.9621036,30.45380029,4.991,1.101868795,111.0082301,1.672189795,0.944402102,54.92,12.41,0.32104
101,6,8,nan,103.9621036,30.45450228,nan,nan,nan,nan,nan,nan,nan,nan
102,7,8,nan,103.9628056,30.45380029,nan,nan,nan,nan,nan,nan,nan,nan
103,8,8,605,103.9606996,30.45309831,4.82,1.430573566,103.9793951,1.216015565,9.12658416,88.04,8.87,0.45785
104,9,8,606,103.9614016,30.45309831,4.71,1.633075969,196.4797488,3.963637464,4.790826096,49.94,14.41,0.47125
105,10,8,607,103.9621036,30.45309831,5.86,1.825706909,201.3094511,4.159273507,22.46040869,85.32,11.58,nan
106,11,8,608,103.9628056,30.45309831,6,1.37147632,93.37108772,0.677278058,3.122737055,130.54,9.02,nan
107,12,8,609,103.9635075,30.45309831,6.115,0.722642912,68.59576069,1.121931806,6.177790514,72.11,14.41,0.40157
108,13,8,610,103.9641939,30.45309831,5.231,1.331229367,90.14649064,1.345091615,7.669839808,84.45,11.4,0.712
109,14,8,nan,103.9648959,30.45309831,nan,nan,nan,nan,nan,nan,nan,nan
110,15,8,612,103.9655979,30.45309831,5.351,0.973760655,108.0922233,2.219055792,9.100432989,50.74,10.81,0.35241
111,16,8,nan,103.9662999,30.45309831,nan,nan,nan,nan,nan,nan,nan,nan
112,17,8,nan,103.9606996,30.45239632,nan,nan,nan,nan,nan,nan,nan,nan
113,18,8,615,103.9614016,30.45239632,6.52,1.384719804,105.9983388,3.171225953,0.563624366,83.83,8.61,0.49879
114,19,8,616,103.9621036,30.45239632,5.31,1.490595563,83.73711942,3.094681208,6.436933494,69.11,9.66,0.55417
115,20,8,617,103.9628056,30.45239632,6.021,0.817475058,98.63202663,1.390276837,19.6705401,66.84,12.06,nan
116,21,8,618,103.9635075,30.45239632,5.115,1.332261879,106.7271537,0.974032904,7.85924819,72.76,8.84,0.50145
117,22,8,619,103.9641939,30.45239632,5.513,0.914137323,99.34402632,1.436059954,24.47571702,162.33,12.24,0.51235
118,23,8,nan,103.9648959,30.45239632,nan,nan,nan,nan,nan,nan,nan,nan
119,24,8,nan,103.9655979,30.45239632,nan,nan,nan,nan,nan,nan,nan,nan
120,25,8,622,103.9662999,30.45239632,6.81,1.240899968,145.0569904,1.412680517,25.03941885,60.73,14.78,0.32517
121,26,8,623,103.9670019,30.45239632,6.32,1.569844477,97.34089178,3.278109583,1.153861496,42.35,9.85,0.51854
122,27,8,nan,103.9677039,30.45239632,nan,nan,nan,nan,nan,nan,nan,nan
123,28,8,625,103.9684058,30.45239632,5.37,2.791570048,183.2768019,3.670138906,6.238124491,78.66,11.57,0.34151
124,29,8,626,103.9614016,30.45169433,5.926,1.099146369,167.2683522,2.524341734,5.219404914,49.42,8.29,nan
125,30,8,627,103.9621036,30.45169433,6.132,1.065593068,117.0417979,1.202416179,0.932411335,47.88,13.63,0.641201
126,31,8,628,103.9628056,30.45169433,5.991,1.55648353,190.6423635,1.026320914,1.754837046,56.21,12,0.51123
127,32,8,629,103.9635075,30.45169433,6.133,1.584472759,141.0526187,2.908223366,10.90406625,68.05,14.18,0.3125
128,33,8,630,103.9641939,30.45169433,5.715,1.679549178,152.2309452,3.396491918,5.636231674,76.5,13.18,0.24512
129,34,8,nan,103.9648959,30.45169433,nan,nan,nan,nan,nan,nan,nan,nan
130,35,8,nan,103.9655979,30.45169433,nan,nan,nan,nan,nan,nan,nan,nan
131,36,8,633,103.9662999,30.45169433,6.1,1.26431717,200.237333,2.342809534,3.715023659,87.62,12.77,nan
132,37,8,634,103.9670019,30.45169433,5.54,1.279940917,144.8133832,1.547025761,1.411226888,89.58,9.65,0.3671
133,38,8,635,103.9677039,30.45169433,5.91,1.027030734,116.0866079,0.743303079,0.87658651,91.23,12.94,0.45431
134,39,8,636,103.9684058,30.45169433,6.02,2.041135075,158.0873533,3.988777654,3.190832027,79.86,12.96,0.47831
135,40,8,637,103.9690922,30.45169433,5.97,1.168688378,90.14784639,1.665948008,1.456226113,65.38,14.29,0.4141
136,41,8,638,103.9628056,30.45099235,5.26,0.797114136,85.08701644,1.420716085,5.12866812,90.63,13.56,nan
137,42,8,639,103.9635075,30.45099235,6.71,1.344191688,144.1764329,4.642219024,2.323418694,57.66,12.14,0.38451
138,43,8,640,103.9641939,30.45099235,6.04,0.96681146,80.51574455,0.933554399,2.140049223,73.2,12.98,nan
139,44,8,641,103.9648959,30.45099235,5.12,1.646064242,128.4862932,0.699164132,0.194261485,39.56,11.86,0.47154
140,45,8,642,103.9655979,30.45099235,6.03,0.963465343,163.7190904,1.322253691,5.311323229,70.11,11.21,0.481521
141,46,8,643,103.9662999,30.45099235,5.05,1.441695241,130.9671384,3.423697491,3.919103349,42.22,10.36,0.37125
142,47,8,644,103.9670019,30.45099235,5.42,1.418372317,176.5216672,0.723210342,2.250646737,188.77,16.84,0.45786
143,48,8,645,103.9677039,30.45099235,6.11,1.272151704,136.4277626,2.333138919,3.693027098,92.66,11.9,0.44213
144,49,8,646,103.9684058,30.45099235,5.23,1.501111633,162.1233942,3.942714914,2.117797232,69.12,13.39,nan
145,50,8,647,103.9690922,30.45099235,5.03,1.250411021,55.59488273,nan,nan,nan,nan,nan
146,51,8,648,103.9697942,30.45099235,5.71,1.942448833,188.558023,2.433434993,1.093146516,59.33,13.71,nan
147,52,8,649,103.9621036,30.45099235,6.3,1.26344412,129.6993268,2.14927902,2.809885309,51.71,12.38,1.12564
148,53,8,661,103.9704962,30.45099235,5.57,1.193593354,112.5784265,nan,nan,nan,nan,nan
149,54,8,662,103.9635075,30.45030596,5.87,3.59872886,197.7408455,3.80360161,4.309140439,59.65,13.86,0.40154
150,55,8,663,103.9641939,30.45030596,5.1,1.160472294,98.29682305,1.282167227,3.879608444,66.12,13.49,0.36154
151,56,8,664,103.9648959,30.45030596,5.32,1.434100455,124.0237449,1.275416545,1.9430737,70.55,10.99,0.39854
152,57,8,665,103.9655979,30.45030596,5.62,1.701122462,160.2809741,1.79325458,3.539832131,90.21,14.61,nan
153,58,8,666,103.9662999,30.45030596,5.81,1.465087322,155.7644396,1.902509191,4.300276114,87.22,15.34,nan
154,59,8,667,103.9670019,30.45030596,5.75,1.186793788,403.6774613,1.984879724,1.219678335,91.12,11.15,0.38915
155,60,8,668,103.9677039,30.45030596,4.97,1.281471765,98.47478847,3.303603341,1.228673715,79.54,13.71,0.438972
156,61,8,nan,103.9684058,30.45030596,nan,nan,nan,nan,nan,nan,nan,nan
157,62,8,nan,103.9690922,30.45030596,nan,nan,nan,nan,nan,nan,nan,nan
158,63,8,671,103.9697942,30.45030596,6.02,1.406104818,108.0042054,1.703297157,1.45091854,59.56,12.88,0.37854
159,64,8,672,103.9704962,30.45030596,5.18,1.194560479,124.9209844,1.870122296,1.832934112,45.22,11.94,nan
160,65,8,673,103.9684058,30.44960397,5.41,1.632835068,93.72990958,1.3542878,9.840298935,68.22,11.23,0.5132
161,66,8,674,103.9690922,30.44960397,5.12,1.445669325,120.850729,2.894482185,1.219959396,87,11.365,0.38125
162,67,8,675,103.9697942,30.44960397,5.21,1.239978061,125.1751426,2.527155745,0.631181623,130.02,12.84,0.42998
163,68,8,676,103.9704962,30.44960397,5.34,1.693459124,135.4402391,3.227859331,2.1558173,70.04,13.4475,0.29102
164,69,8,nan,103.9711982,30.44960397,nan,nan,nan,nan,nan,nan,nan,nan
165,70,8,678,103.9719002,30.45030596,6.51,1.740195542,115.0683125,nan,nan,nan,nan,nan
166,71,8,nan,103.9719002,30.45099235,4.875,1.563388049,163.8867525,3.426722357,16.18320628,147.04,13.27,0.56075
167,72,8,680,103.9726022,30.45099235,6.23,1.366823776,250.2124311,2.100237251,0.578189453,nan,nan,nan
168,73,8,681,103.9726022,30.45030596,5.52,1.389653176,199.4241806,2.444565131,3.114284002,58.14,11.465,0.561201
169,74,8,682,103.9733041,30.45030596,5.21,1.461736207,101.1690577,2.95617186,5.662647555,136.1,13.8775,0.47812
170,75,8,683,103.9740061,30.45030596,4.46,1.624400623,112.063456,1.335189573,6.555654817,147.04,13.27,0.59431
171,76,8,684,103.9746925,30.45030596,4.23,1.770362215,125.8816971,3.355025943,10.81834088,99.33,10.21,0.62315
172,77,8,685,103.9753945,30.44960397,5.01,1.470406148,167.1663579,2.67202679,15.15684062,89.05,7.22,0.65413
173,78,8,686,103.9746925,30.44960397,6.41,1.586595707,132.0505081,2.573724081,1.234879874,111.82,13.985,0.8213
174,79,8,687,103.9740061,30.44960397,4.99,1.322378377,127.7349323,2.343924044,21.55045256,73.38,12.6275,0.55413
175,80,8,688,103.9733041,30.44960397,5.72,1.246360597,116.4105137,2.537158917,19.41728291,51.465,10.382625,0.44523
176,81,8,689,103.9726022,30.44960397,5.11,1.570699952,109.2131085,2.907987792,6.344154906,77.515,10.5585,0.59151
177,82,8,690,103.9719002,30.44960397,4.805,1.329525776,113.9013862,1.998715758,4.465239294,70.04,13.4475,0.51825
178,83,8,691,103.9711982,30.44890199,nan,nan,nan,nan,nan,nan,nan,nan
179,84,8,692,103.9704962,30.44890199,5.865,1.145802685,107.1999098,0.450934843,1.012894741,65.8,12.1825,0.683
180,85,8,693,103.9746925,30.44890199,6.65,1.395658677,137.8004375,2.144377374,2.468268373,59.6,11.69,1.027
