,序号,养殖场,样品号,精料,玉米秸,酒糟
0,1,小金盛源,sy1,0.45540371832540866,0.6041498036396042,1.0889648144875719
1,2,小金盛源,sy2,0.534011257496081,0.2408691673572931,1.0381681366778117
2,3,小金盛源,sy3,0.532,0.4682723278737102,0.7140952938177498
3,4,小金华兴,hx1,0.11396150140529826,0.5759681741544014,0.35722098685773634
4,5,小金华兴,hx2,0.2824457547810183,0.43071770899586975,0.4482096350734471
5,6,小金华兴,hx3,0.30952697951291813,0.40899474700931815,0.16767033221978972
6,7,金川庆宁,qn1,0.977991331386423,0.3157495496095296,1.9864132084889095
7,8,金川庆宁,qn2,1.9628316686491014,0.4446553235915569,2.176872797981447
8,9,金川庆宁,qn3,2.2473143271974902,0.39147174708440613,2.677521980666561
9,10,金川勒乌,lw1,0.599358883463367,0.19739625595150723,1.0096381988592389
10,11,金川勒乌,lw2,1.4854698309252736,1.2769317564903386,0.8175925681316397
11,12,金川勒乌,lw3,1.9550335305907725,1.0846384638892645,0.7255570308969115
12,13,金川雪松,xs1,0.4499974308113135,0.7198033489501581,1.1605808054333469
13,14,金川雪松,xs2,0.4393766347550921,0.8046769313798088,1.297427418886707
14,15,金川雪松,xs3,0.24376297937232272,0.5404268905555455,0.6162953184115874
15,16,汶川绵虒,mc1,0.511132041336386,0.6187535657523501,0.9435727525113724
16,17,汶川绵虒,mc2,0.5805721228445125,0.4239135944664484,3.454452212039934
17,18,汶川绵虒,mc3,0.6187535657523501,0.31954297759545724,3.1024182536636644
18,19,茂县茂兴,mx1,1.2718586316334157,0.4446553235915569,1.8490572857037297
19,20,茂县茂兴,mx2,0.8474157844326574,0.059087902183248386,1.8712719354596694
20,21,茂县茂兴,mx3,1.1698578014874894,1.6214309106670544,1.491394997241751
21,22,松潘雄山,spxs1,0.599358883463367,2.7096898391067596,1.3993654460730531
22,23,松潘雄山,spxs2,0.17447961123325012,2.2652780278275766,1.251766883339525
23,24,松潘雄山,spxs3,0.3246718695324292,2.99323443583192,0.9176423940218568
