,序号,养殖场 ,样品号,pH
0,1,小金圣源,sy1,7.06
1,2,小金圣源,sy2,7.09
2,3,小金圣源,sy3,7.13
3,4,小金华兴,hx1,7.26
4,5,小金华兴,hx2,7.31
5,6,小金华兴,hx3,7.28
6,7,金川庆宁,qn1,7.13
7,8,金川庆宁,qn2,7.12
8,9,金川庆宁,qn3,7.13
9,10,金川勒乌,lw1,7.33
10,11,金川勒乌,lw2,7.33
11,12,金川勒乌,lw3,7.32
12,13,马尔康雪松,xs1,6.99
13,14,马尔康雪松,xs2,6.92
14,15,马尔康雪松,xs3,6.84
15,16,茂县茂兴,mc1,7.49
16,17,茂县茂兴,mc2,7.47
17,18,茂县茂兴,mc3,7.45
18,19,汶川绵虒,mx1,7.08
19,20,汶川绵虒,mx2,7.04
20,21,汶川绵虒,mx3,6.98
21,22,松潘雄山,spxs1,7.99
22,23,松潘雄山,spxs2,7.95
23,24,松潘雄山,spxs3,7.94
