,序号,养殖场,样品号,精料,玉米秸,酒糟
0,1,小金盛源,sy1,24.126985899658475,36.61683014601642,14.593543064051257
1,2,小金盛源,sy2,36.32424192079316,29.802541630012687,29.72294979680057
2,3,小金盛源,sy3,64.7228981369657,50.20250605072185,21.3914527426694
3,4,小金华兴,hx1,44.03692898614992,27.652489329334024,24.06255142754278
4,5,小金华兴,hx2,23.55323212519709,72.8046890360942,20.994740548955644
5,6,小金华兴,hx3,63.1837499294521,17.225318303570607,37.91219112461703
6,7,金川庆宁,qn1,21.107330127497605,42.1924456089547,59.89319628888998
7,8,金川庆宁,qn2,13.907710043027134,72.0300588884897,55.870326750989044
8,9,金川庆宁,qn3,51.978475382494885,46.9559372238099,62.67887768406422
9,10,金川勒乌,lw1,15.72822864212801,16.63677397224779,12.869899703397959
10,11,金川勒乌,lw2,19.06778644690284,17.457185737964945,15.602551610938947
11,12,金川勒乌,lw3,23.998289036648238,18.318054593887815,17.787053041351154
12,13,金川雪松,xs1,26.07255160007666,34.80280384700758,30.7744321119586
13,14,金川雪松,xs2,55.2758754865056,12.430168699207574,23.05469331520787
14,15,金川雪松,xs3,21.9125458430592,21.971223050601385,19.06778644690284
15,16,汶川绵虒,mc1,34.617160613422655,29.328167715916365,28.024715353980568
16,17,汶川绵虒,mc2,37.70996196562159,54.9810259016945,17.64492489261279
17,18,汶川绵虒,mc3,38.83572733570803,22.931716217294767,18.7141674813462
18,19,茂县茂兴,mx1,13.11308661643962,37.10972382217276,44.27308809767937
19,20,茂县茂兴,mx2,11.751348890565295,47.3341627175715,18.664188693786063
20,21,茂县茂兴,mx3,13.360868738149401,47.843206719734695,59.733243176543226
21,22,松潘雄山,spxs1,74.97814648406153,12.396972204553267,42.874895183121346
22,23,松潘雄山,spxs2,166.79841165115718,22.38638665191641,32.11976603735406
23,24,松潘雄山,spxs3,120.04395138372568,16.81569020356361,51.151122027131315
